status,why,verify,state,pollster,sponsor,partisan,population,n,start_date,end_date,dem_candidate,rep_candidate,dem_pct,rep_pct,margin,note,source_url,mentions,confidence
dup,기존 CSV에 있음,,NH,UNH Survey Center,,none,,,2026-08-20,2026-08-24,Pappas,Sununu,43,45,-2,일일 브리핑 09/19 추출·지명 전 가상 대진(09/08 확정 전) · Sample size and MOE not stated in text.,https://scholars.unh.edu/survey_center_polls/922/,2026-09-19,high
dup,기존 CSV에 있음,,NH,Rasmussen Reports,,none,LV,1000,2026-09-08,2026-09-10,Pappas,Sununu,45,34,11,±2·일일 브리핑 09/19 추출(언급 3회),https://www.rasmussenreports.com/public_content/politics/elections/election_2026/election_2026_new_hampshire_senate,2026-09-19;2026-09-21;2026-09-22,high
dup,기존 CSV에 있음,,NH,co/efficient,,none,LV,958,2026-09-09,2026-09-11,Pappas,Sununu,46,46,0,±3.15·일일 브리핑 09/19 추출·Undecided 9%.,https://battlegrounds.coefficient.org/nh/,2026-09-19,high
pending,"누락: start_date,end_date,dem_pct,rep_pct",,OH,Fox News/Beacon·Shaw,,none,RV,,,,Brown,Husted,,,,"일일 브리핑 09/18 추출(언급 4회)·One of two separate Fox News OH polls both showing Brown+8; this one conducted June 2026 (exact dates not given in text). · Second of two separate Fox News OH polls both showing Brown+8; this one conducted August 2026 (exact dates not given in text). · 6월 실시분; 실사일·표본·토플라인 미기재, 마진만 보도 · 8월 실시분; 실사일·표본·토플라인 미기재, 마진만 보도; 오하이오 유권자 40%가 인플레이션을 최우선 이슈로 지목",https://www.foxnews.com/politics/fox-news-poll-economic-anxiety-candidate-concerns-define-ohio-senate-race,2026-09-18;2026-09-19;2026-09-21;2026-09-22,low
pending,"누락: start_date,end_date,dem_pct,rep_pct,source_url",,OH,InsiderAdvantage,,none,,,,,Brown,Husted,,,,"일일 브리핑 09/18 추출(언급 2회)·Margin only; no toplines, dates, or sample given.",,2026-09-18;2026-09-19,low
dup,기존 CSV에 있음,,OH,InsiderAdvantage,,none,,1200,2026-09-08,2026-09-09,Brown,Husted,47,42,5,±2.83·일일 브리핑 09/20 추출(언급 2회),https://insideradvantage.com/top-line-tabs-ohio/,2026-09-20;2026-09-21,high
dup,기존 CSV에 있음,,OH,BGSU/YouGov,,none,,1000,2026-09-01,2026-09-10,Brown,Husted,48,45,3,"±4·일일 브리핑 09/18 추출(언급 4회)·MOE reported as approximate (≈±4). · 실사 기간 미기재, 9/16 공개; 무소속·자유당 후보는 하위",https://politicalwire.com/2026/09/16/sherrod-brown-leads-for-ohio-senate/,2026-09-18;2026-09-19;2026-09-21;2026-09-22,medium
pending,"누락: start_date,end_date,dem_pct,rep_pct,source_url",,TX,AARP/Fabrizio Ward·Impact Research,,none,,,,,Talarico,Paxton,,,,"일일 브리핑 09/18 추출·Distinct from the AARP Alaska poll. Margin only; no toplines, dates, or sample given.",,2026-09-18,low
pending,"누락: start_date,end_date,dem_pct,rep_pct,source_url",,TX,InsiderAdvantage,,none,,,,,Talarico,Paxton,,,,"일일 브리핑 09/18 추출·Margin only; no toplines, dates, or sample given.",,2026-09-18,low
pending,"누락: start_date,end_date,dem_pct,rep_pct,source_url",,TX,Univision/YouGov,,none,,,,,Talarico,Paxton,,,,"일일 브리핑 09/18 추출·Margin only; no toplines, dates, or sample given.",,2026-09-18,low
dup,기존 CSV에 있음,,TX,Emerson College/Nexstar,,none,,,2026-08-09,2026-08-10,Talarico,Paxton,46,47,-1,일일 브리핑 09/18 추출·Sample size and MOE not restated for this specific earlier instance; cited only as comparison point for the 9/12-14 Emerson TX poll.,,2026-09-18,medium
dup,기존 CSV에 있음,,TX,Fabrizio Ward / Impact Research,AARP,none,LV,895,2026-08-30,2026-09-01,Talarico,Paxton,48,44,4,±3.3·일일 브리핑 09/20 추출,https://www.aarp.org/government-elections/texas-election-poll-2026/,2026-09-20,high
dup,기존 CSV에 있음,,TX,Univision/YouGov,,none,RV,1000,2026-08-27,2026-09-04,Talarico,Paxton,48,43,5,±3.6·일일 브리핑 09/20 추출(언급 2회)·라티노 유권자에서 탈라리코 56–37(9/22 브리핑 인용),https://www.univision.com/noticias/politica/poll-univision-texas-2026,2026-09-20;2026-09-22,high
dup,기존 CSV에 있음,,TX,InsiderAdvantage,,none,,1200,2026-09-08,2026-09-09,Talarico,Paxton,47,46,1,±2.83·일일 브리핑 09/20 추출,https://insideradvantage.com/insideradvantage-u-s-senate-surveys-texas-talarico-47-paxton-46-south-carolina-graham-45-andrews-43-ohio-brown-47-husted-42/,2026-09-20,high
ready,,일치,TX,Telemundo/Mason-Dixon,NBC 5 DFW / Telemundo Station Group,none,RV,625,2026-09-08,2026-09-10,Talarico,Paxton,46,43,3,"±4·일일 브리핑 09/18 추출(언급 2회)·원문 대조 일치·Fieldwork dates and sample not stated in text. · 투표 의향을 밝힌 등록유권자 대상 전화조사; 흑인 응답자 탈라리코 84%, 히스패닉 54%, 백인 팩스턴 64–36; 실사 기간이 이미 다룬 Emerson 9/12–14 조사보다 앞서 새로 공개된 이전 조사",https://www.nbcdfw.com/news/politics/lone-star-politics/talarico-abbott-lead-races-in-new-statewide-poll/4079821/,2026-09-18;2026-09-22,low
dup,기존 CSV에 있음,,TX,Emerson College/Nexstar,,none,LV,1000,2026-09-12,2026-09-14,Talarico,Paxton,47,46,1,"±3·일일 브리핑 09/18 추출(언급 5회)·Net +2pt shift toward Talarico vs Emerson's Aug 9-10 poll (Paxton 47-46). Subgroups (not toplines): Hispanic voters Talarico 54-39; under-50 Talarico +15 (53-38); 50+ Paxton +11 (53-42). · 자유당 테드 브라운 2%; 히스패닉 유권자 탈라리코 54–39; 50세 미만 탈라리코+15, 50세 이상 팩스턴+11",https://emersoncollegepolling.com/texas-2026-poll-talarico-and-paxton-in-dead-heat-abbott-maintains-edge/,2026-09-18;2026-09-19;2026-09-20;2026-09-21;2026-09-22,high
